sportangebot,sportangebot-detail,wochentag,uhrzeit_start,uhrzeit_ende,strasse,hausnummer,hn-zusatz,stadteil,schulnamen,zusatzinfomationen,latitude,longitude,webseite
Pilates,,Dienstag,18:00,19:00,Thalkirchnerstr.,209,,Thalkirchen,Bezirkssportanlage Thalkirchnerstr. 209 (UG2),,48.1063728062163,11.5460941383408,https://www.muenchen.de/freizeit/freizeitsportprogramm/pilates-freizeitsport-muenchen
Pilates,,Donnerstag,17:00,18:00,MemelerStr.,53,,Bogenhausen,Memeler Str. 53 Sportanlage (KlSH),,48.1534210212361,11.6380955466952,https://www.muenchen.de/freizeit/freizeitsportprogramm/pilates-freizeitsport-muenchen
Power Circuit Training,,Montag,20:00,21:00,Luisenstr.,29,Halle 1,Königsplatz,Städtische Berufsschule für Spedition und Touristik (EH1)  Luisenstr. 29,,48.1454129828542,11.562628207656,https://www.muenchen.de/freizeit/freizeitsportprogramm/power-circuit-training-das-staedtische-freizeitsport-angebot
Qi Gong,,Freitag,10:00,11:00,Dantestr.,14,,Gern,Städtisches Stadion an der Dantestr. 14,,48.1676723817281,11.5279613083889,https://www.muenchen.de/freizeit/freizeitsportprogramm/qi-gong-freizeitsport-muenchen
Qi Gong,,Donnerstag,17:00,18:00,Simmernstr.,2,,Schwabing,"Mittelschule an der Simmernstr. 2, KSH1, Zugang Birkenfeldstrasse","Im Sommer (Mai-September) findet Qi Gong nicht mehr in der Simmernstraße statt, sondern von 18-18.45 Uhr im Luitpoldpark, siehe Flyer Fit im Park",48.1673841294298,11.5829229048892,https://www.muenchen.de/freizeit/freizeitsportprogramm/qi-gong-freizeitsport-muenchen
Qi Gong,,Donnerstag,19:00,20:00,Thalkirchnerstr.,209,,Thalkirchen,Bezirkssportanlage Thalkirchnerstr. 209 (UG2),,48.1063728062163,11.5460941383408,https://www.muenchen.de/freizeit/freizeitsportprogramm/qi-gong-freizeitsport-muenchen
Qi Gong,,Mittwoch,19:00,20:00,Luisenstr.,29,Halle 1,Königsplatz,Städtische Berufsschule für Spedition und Touristik (EH1)  Luisenstr. 33,,48.1454129828542,11.562628207656,https://www.muenchen.de/freizeit/freizeitsportprogramm/qi-gong-freizeitsport-muenchen
Qi Gong,,Donnerstag,18:00,19:00,Simmernstr.,2,,Schwabing,"Mittelschule an der Simmernstr. 2, KSH1, Zugang Birkenfeldstrasse","Im Sommer (Mai-September) findet Qi Gong nicht mehr in der Simmernstraße statt, sondern von 18-18.45 Uhr im Luitpoldpark, siehe Flyer Fit im Park",48.1673841294298,11.5829229048892,https://www.muenchen.de/freizeit/freizeitsportprogramm/qi-gong-freizeitsport-muenchen
Rücken Fitness,,Montag,18:00,19:00,Luisenstr.,7,,Hauptbahnhof,Städtisches Luisengymnasium (EH1)Luisenstr.7,,48.1427246062633,11.5615927987124,https://www.muenchen.de/freizeit/freizeitsportprogramm/ruecken-fitness-freizeitsport-muenchen
Rücken Fitness,,Mittwoch,17:00,18:00,Dantestr.,14,,Gern,Städtisches Stadion an der Dantestr. 14,,48.1676723817281,11.5279613083889,https://www.muenchen.de/freizeit/freizeitsportprogramm/ruecken-fitness-freizeitsport-muenchen
Rücken Fitness,,Donnerstag,18:00,19:00,Droste-Hülshoff-Str.,9,Halle rechts,Laim,Grundschule Droste Hülshoff Straße 9,,48.1279771401509,11.5075067600768,https://www.muenchen.de/freizeit/freizeitsportprogramm/ruecken-fitness-freizeitsport-muenchen
Rücken Fitness,,Donnerstag,18:00,19:00,Thalkirchnerstr.,209,,Thalkirchen,Bezirkssportanlage Thalkirchnerstr. 209 (UG2),,48.1063728062163,11.5460941383408,https://www.muenchen.de/freizeit/freizeitsportprogramm/ruecken-fitness-freizeitsport-muenchen
Rücken Fitness,,Dienstag,18:00,19:00,Corneliusstr.,17,EG,Isarvorstadt,Grundschule am Gärtnerplatz /Klenzestr. 27 EG,,48.1313181601876,11.5769218173545,https://www.muenchen.de/freizeit/freizeitsportprogramm/ruecken-fitness-freizeitsport-muenchen
Rücken Fitness,,Mittwoch,20:00,21:00,Simmernstr.,2,,Simmernstr.2,"Simmernstr. 2, EG, Zugang Birkenfeldstrasse",,48.1673841294298,11.5829229048892,https://www.muenchen.de/freizeit/freizeitsportprogramm/ruecken-fitness-freizeitsport-muenchen
